Name	Package	Protection
android.permission.ACCESS_NOTIFICATION_POLICY	android	
com.android.permission.READ_OMADM_SETTINGS	com.android.omadm.service	18
android.permission.ACTIVITY_EMBEDDING	android	18
android.permission.BIND_RUNTIME_PERMISSION_PRESENTER_SERVICE	android	2
android.permission.CONTROL_ALWAYS_ON_VPN	android	2
com.google.SSRestartDetector.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.SSRestartDetector	2
com.google.android.gms.dck.permission.DIGITAL_KEY_WRITE	com.google.android.gms	
android.permission.MODIFY_AUDIO_ROUTING	android	67108882
android.permission.RECEIVE_BLUETOOTH_MAP	android	18
android.permission.ACCESS_MOCK_LOCATION	android	2
android.permission.REQUEST_UNIQUE_ID_ATTESTATION	android	2
com.android.chrome.permission.TRANSLATE	com.android.chrome	2
android.permission.WIFI_UPDATE_COEX_UNSAFE_CHANNELS	android	67108866
android.permission.ACCESS_UCE_OPTIONS_SERVICE	android	18
android.permission.READ_ACTIVE_EMERGENCY_SESSION	android	2
android.permission.BIND_VR_LISTENER_SERVICE	android	2
com.google.android.apps.nbu.files.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.apps.nbu.files	2
android.permission.GET_APP_OPS_STATS	android	50
android.permission.RECEIVE_DATA_ACTIVITY_CHANGE	android	18
android.permission.PROVISION_DEMO_DEVICE	android	2050
com.google.android.apps.maps.permission.ASSISTANT_GRPC_SYNC	com.google.android.apps.maps	
android.permission.READ_SAFETY_CENTER_STATUS	android	18
com.google.android.providers.gsf.permission.READ_GSERVICES	com.google.android.gsf	
android.permission.CONTROL_KEYGUARD_SECURE_NOTIFICATIONS	android	18
android.permission.ANSWER_PHONE_CALLS	android	8193
com.google.android.setupwizard.WRITE_DEVICE_ORIGIN	com.google.android.setupwizard	18
com.google.android.youtube.permission.C2D_MESSAGE	com.google.android.youtube	2
com.google.android.gms.permission.ACCESS_MULTIPACKAGE_COMPONENT	com.google.android.gms	2
android.permission.READ_WIFI_CREDENTIAL	android	18
com.google.android.gms.dck.permission.SE_APPLET_NOTIFICATION	com.google.android.gms	18
android.permission.BIND_DREAM_SERVICE	android	2
android.permission.REVOKE_POST_NOTIFICATIONS_WITHOUT_KILL	android	2
android.permission.ACCESS_TV_SHARED_FILTER	android	32786
android.permission.QUERY_AUDIO_STATE	android	67108866
android.permission.WRITE_GSERVICES	android	18
android.permission.MANAGE_ONE_TIME_PERMISSION_SESSIONS	android	258
com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS	com.android.printspooler	2
android.permission.READ_HOME_APP_SEARCH_DATA	android	67108868
