Bundle ID	Possible Google Play Store Link	source file
com.android.providers.calendar	"<a href=""https://play.google.com/store/apps/details?id=com.android.providers.calendar"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.providers.calendar</font></a>"	\data\system\packages.list
com.google.android.googlequicksearchbox.nga_resources	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox.nga_resources"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox.nga_resources</font></a>"	\data\system\packages.list
com.android.providers.media	"<a href=""https://play.google.com/store/apps/details?id=com.android.providers.media"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.providers.media</font></a>"	\data\system\packages.list
com.google.pixel.livewallpaper	"<a href=""https://play.google.com/store/apps/details?id=com.google.pixel.livewallpaper"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.pixel.livewallpaper</font></a>"	\data\system\packages.list
com.google.android.onetimeinitializer	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.onetimeinitializer"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.onetimeinitializer</font></a>"	\data\system\packages.list
com.google.android.ext.shared	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.ext.shared"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.ext.shared</font></a>"	\data\system\packages.list
com.android.internal.systemui.navbar.gestural_wide_back	"<a href=""https://play.google.com/store/apps/details?id=com.android.internal.systemui.navbar.gestural_wide_back"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.internal.systemui.navbar.gestural_wide_back</font></a>"	\data\system\packages.list
com.qorvo.uwb.vendorservice	"<a href=""https://play.google.com/store/apps/details?id=com.qorvo.uwb.vendorservice"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.qorvo.uwb.vendorservice</font></a>"	\data\system\packages.list
com.android.hbmsvmanager	"<a href=""https://play.google.com/store/apps/details?id=com.android.hbmsvmanager"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.hbmsvmanager</font></a>"	\data\system\packages.list
com.google.android.euiccoverlay	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.euiccoverlay"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.euiccoverlay</font></a>"	\data\system\packages.list
com.google.android.apps.diagnosticstool	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.apps.diagnosticstool"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.apps.diagnosticstool</font></a>"	\data\system\packages.list
com.google.euiccpixel.permissions	"<a href=""https://play.google.com/store/apps/details?id=com.google.euiccpixel.permissions"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.euiccpixel.permissions</font></a>"	\data\system\packages.list
com.google.euiccpixel	"<a href=""https://play.google.com/store/apps/details?id=com.google.euiccpixel"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.euiccpixel</font></a>"	\data\system\packages.list
com.google.android.flipendo	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.flipendo"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.flipendo</font></a>"	\data\system\packages.list
com.android.settings.overlay.g8v0u	"<a href=""https://play.google.com/store/apps/details?id=com.android.settings.overlay.g8v0u"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.settings.overlay.g8v0u</font></a>"	\data\system\packages.list
com.google.android.storagemanager.auto_generated_rro_product__	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.storagemanager.auto_generated_rro_product__"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.storagemanager.auto_generated_rro_product__</font></a>"	\data\system\packages.list
com.android.settings.overlay.raven	"<a href=""https://play.google.com/store/apps/details?id=com.android.settings.overlay.raven"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.settings.overlay.raven</font></a>"	\data\system\packages.list
com.android.simappdialog.auto_generated_rro_product__	"<a href=""https://play.google.com/store/apps/details?id=com.android.simappdialog.auto_generated_rro_product__"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.simappdialog.auto_generated_rro_product__</font></a>"	\data\system\packages.list
com.android.safetyregulatoryinfo.auto_generated_rro_product__	"<a href=""https://play.google.com/store/apps/details?id=com.android.safetyregulatoryinfo.auto_generated_rro_product__"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.safetyregulatoryinfo.auto_generated_rro_product__</font></a>"	\data\system\packages.list
com.android.omadm.service.auto_generated_rro_product__	"<a href=""https://play.google.com/store/apps/details?id=com.android.omadm.service.auto_generated_rro_product__"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.omadm.service.auto_generated_rro_product__</font></a>"	\data\system\packages.list
com.android.externalstorage	"<a href=""https://play.google.com/store/apps/details?id=com.android.externalstorage"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.externalstorage</font></a>"	\data\system\packages.list
com.android.htmlviewer	"<a href=""https://play.google.com/store/apps/details?id=com.android.htmlviewer"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.htmlviewer</font></a>"	\data\system\packages.list
com.android.companiondevicemanager	"<a href=""https://play.google.com/store/apps/details?id=com.android.companiondevicemanager"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.companiondevicemanager</font></a>"	\data\system\packages.list
com.android.mms.service	"<a href=""https://play.google.com/store/apps/details?id=com.android.mms.service"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.mms.service</font></a>"	\data\system\packages.list
com.android.providers.downloads	"<a href=""https://play.google.com/store/apps/details?id=com.android.providers.downloads"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.providers.downloads</font></a>"	\data\system\packages.list
com.android.systemui.auto_generated_rro_product__	"<a href=""https://play.google.com/store/apps/details?id=com.android.systemui.auto_generated_rro_product__"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.systemui.auto_generated_rro_product__</font></a>"	\data\system\packages.list
com.google.android.apps.messaging	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.apps.messaging"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.apps.messaging</font></a>"	\data\system\packages.list
com.google.android.soundpicker	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.soundpicker"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.soundpicker</font></a>"	\data\system\packages.list
com.google.android.systemui.overlay.pixelbatteryhealthconfig	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.systemui.overlay.pixelbatteryhealthconfig"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.systemui.overlay.pixelbatteryhealthconfig</font></a>"	\data\system\packages.list
android.autoinstalls.config.google.nexus	"<a href=""https://play.google.com/store/apps/details?id=android.autoinstalls.config.google.nexus"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=android.autoinstalls.config.google.nexus</font></a>"	\data\system\packages.list
com.google.android.apps.scone.overlays	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.apps.scone.overlays"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.apps.scone.overlays</font></a>"	\data\system\packages.list
com.google.android.configupdater	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.configupdater"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.configupdater</font></a>"	\data\system\packages.list
com.google.android.providers.media.module	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.providers.media.module"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.providers.media.module</font></a>"	\data\system\packages.list
com.google.android.overlay.udfpsoverlay	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.overlay.udfpsoverlay"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.overlay.udfpsoverlay</font></a>"	\data\system\packages.list
com.google.android.wifi.resources.pixel	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.wifi.resources.pixel"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.wifi.resources.pixel</font></a>"	\data\system\packages.list
com.google.android.overlay.googlewebview	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.overlay.googlewebview"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.overlay.googlewebview</font></a>"	\data\system\packages.list
com.google.android.apps.safetyhub	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.apps.safetyhub"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.apps.safetyhub</font></a>"	\data\system\packages.list
com.google.android.factoryota	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.factoryota"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.factoryota</font></a>"	\data\system\packages.list
com.android.systemui.plugin.globalactions.wallet	"<a href=""https://play.google.com/store/apps/details?id=com.android.systemui.plugin.globalactions.wallet"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.systemui.plugin.globalactions.wallet</font></a>"	\data\system\packages.list
com.google.ar.core	"<a href=""https://play.google.com/store/apps/details?id=com.google.ar.core"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.ar.core</font></a>"	\data\system\packages.list
com.android.providers.downloads.ui	"<a href=""https://play.google.com/store/apps/details?id=com.android.providers.downloads.ui"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.providers.downloads.ui</font></a>"	\data\system\packages.list
com.google.android.hotspot2.osulogin	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.hotspot2.osulogin"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.hotspot2.osulogin</font></a>"	\data\system\packages.list
com.android.vending	"<a href=""https://play.google.com/store/apps/details?id=com.android.vending"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.vending</font></a>"	\data\system\packages.list
com.android.pacprocessor	"<a href=""https://play.google.com/store/apps/details?id=com.android.pacprocessor"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.pacprocessor</font></a>"	\data\system\packages.list
com.android.simappdialog	"<a href=""https://play.google.com/store/apps/details?id=com.android.simappdialog"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.simappdialog</font></a>"	\data\system\packages.list
com.android.cellbroadcastreceiver.overlay.pixel	"<a href=""https://play.google.com/store/apps/details?id=com.android.cellbroadcastreceiver.overlay.pixel"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.cellbroadcastreceiver.overlay.pixel</font></a>"	\data\system\packages.list
com.joeykrim.rootcheck	"<a href=""https://play.google.com/store/apps/details?id=com.joeykrim.rootcheck"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.joeykrim.rootcheck</font></a>"	\data\system\packages.list
com.google.android.adservices.api	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.adservices.api"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.adservices.api</font></a>"	\data\system\packages.list
com.google.android.overlay.pixelconfig2019midyear	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.overlay.pixelconfig2019midyear"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.overlay.pixelconfig2019midyear</font></a>"	\data\system\packages.list
com.android.internal.display.cutout.emulation.hole	"<a href=""https://play.google.com/store/apps/details?id=com.android.internal.display.cutout.emulation.hole"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.internal.display.cutout.emulation.hole</font></a>"	\data\system\packages.list
com.android.internal.display.cutout.emulation.tall	"<a href=""https://play.google.com/store/apps/details?id=com.android.internal.display.cutout.emulation.tall"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.internal.display.cutout.emulation.tall</font></a>"	\data\system\packages.list
com.android.networkstack.overlay	"<a href=""https://play.google.com/store/apps/details?id=com.android.networkstack.overlay"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.networkstack.overlay</font></a>"	\data\system\packages.list
com.android.certinstaller	"<a href=""https://play.google.com/store/apps/details?id=com.android.certinstaller"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.certinstaller</font></a>"	\data\system\packages.list
com.google.android.marvin.talkback	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.marvin.talkback"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.marvin.talkback</font></a>"	\data\system\packages.list
com.google.android.apps.accessibility.voiceaccess	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.apps.accessibility.voiceaccess"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.apps.accessibility.voiceaccess</font></a>"	\data\system\packages.list
com.google.android.connectivity.resources.overlay	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.connectivity.resources.overlay"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.connectivity.resources.overlay</font></a>"	\data\system\packages.list
com.android.internal.systemui.navbar.threebutton	"<a href=""https://play.google.com/store/apps/details?id=com.android.internal.systemui.navbar.threebutton"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.internal.systemui.navbar.threebutton</font></a>"	\data\system\packages.list
com.google.android.apps.work.oobconfig	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.apps.work.oobconfig"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.apps.work.oobconfig</font></a>"	\data\system\packages.list
android	"<a href=""https://play.google.com/store/apps/details?id=android"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=android</font></a>"	\data\system\packages.list
com.android.hotwordenrollment.xgoogle	"<a href=""https://play.google.com/store/apps/details?id=com.android.hotwordenrollment.xgoogle"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.android.hotwordenrollment.xgoogle</font></a>"	\data\system\packages.list
com.google.android.pixel.setupwizard	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.pixel.setupwizard"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.pixel.setupwizard</font></a>"	\data\system\packages.list
com.google.android.grilservice	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.grilservice"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.grilservice</font></a>"	\data\system\packages.list
com.google.android.sdksandbox	"<a href=""https://play.google.com/store/apps/details?id=com.google.android.sdksandbox"" target=""_blank""><font color=""blue"">https://play.google.com/store/apps/details?id=com.google.android.sdksandbox</font></a>"	\data\system\packages.list
