Timestamp	Battery Level	Charge Type	Battery Saver	Timezone
2023-05-03 10:43:52	58	Charging Rapidly		Australia/Perth
2023-05-03 10:45:23	59	Charging Rapidly		Australia/Perth
2023-05-03 10:46:34	60	Charging Rapidly		Australia/Perth
2023-05-03 10:49:13	61	Charging Rapidly		Australia/Perth
2023-05-03 10:50:35	62	Charging Rapidly		Australia/Perth
2023-05-03 10:51:49	63	Charging Rapidly		Australia/Perth
2023-05-03 10:52:56	64	Charging Rapidly		Australia/Perth
2023-05-03 10:54:00	65	Charging Rapidly		Australia/Perth
2023-05-03 10:55:01	66	Charging Rapidly		Australia/Perth
2023-05-03 10:56:19	67	Charging Rapidly		Australia/Perth
2023-05-03 10:57:21	68	Charging Rapidly		Australia/Perth
2023-05-03 10:58:39	69	Charging Rapidly		Australia/Perth
2023-05-03 10:59:51	70	Charging Rapidly		Australia/Perth
2023-05-03 11:01:03	71	Charging Rapidly		Australia/Perth
2023-05-03 11:02:13	72	Charging Rapidly		Australia/Perth
2023-05-03 11:03:17	73	Charging Rapidly		Australia/Perth
2023-05-03 11:04:33	74	Charging Rapidly		Australia/Perth
2023-05-03 11:05:53	75	Charging Rapidly		Australia/Perth
2023-05-03 11:06:55	76	Charging Rapidly		Australia/Perth
2023-05-03 11:08:12	77	Charging Rapidly		Australia/Perth
2023-05-03 11:09:30	78	Charging Rapidly		Australia/Perth
2023-05-03 11:10:31	79	Charging Rapidly		Australia/Perth
2023-05-03 11:11:50	80	Charging Rapidly		Australia/Perth
2023-05-03 11:13:11	81	Charging Rapidly		Australia/Perth
2023-05-03 11:14:12	82	Charging Rapidly		Australia/Perth
2023-05-03 11:15:30	83	Charging Rapidly		Australia/Perth
2023-05-03 11:16:47	84	Charging Rapidly		Australia/Perth
2023-05-03 11:18:05	85	Charging Rapidly		Australia/Perth
2023-05-03 11:19:38	86	Charging Rapidly		Australia/Perth
2023-05-03 11:21:13	87	Charging Rapidly		Australia/Perth
2023-05-03 11:22:50	88	Charging Rapidly		Australia/Perth
2023-05-03 11:24:43	89	Charging Rapidly		Australia/Perth
2023-05-03 11:26:31	90	Charging Rapidly		Australia/Perth
2023-05-03 11:28:44	91	Charging Rapidly		Australia/Perth
2023-05-03 11:30:48	92	Charging Rapidly		Australia/Perth
2023-05-03 11:33:38	93	Charging Rapidly		Australia/Perth
2023-05-03 11:36:12	94	Charging Rapidly		Australia/Perth
2023-05-03 11:39:13	95	Charging Rapidly		Australia/Perth
2023-05-03 11:42:55	96	Charging Rapidly		Australia/Perth
2023-05-03 11:46:48	97	Charging Rapidly		Australia/Perth
2023-05-03 11:51:09	98	Charging Rapidly		Australia/Perth
2023-05-03 11:52:58	99	Charging Rapidly		Australia/Perth
2023-05-03 11:55:04	100	Charging Rapidly		Australia/Perth
2023-05-04 12:49:57	100			Australia/Perth
2023-05-04 19:09:56	99			Australia/Perth
2023-05-04 21:17:09	98			Australia/Perth
2023-05-04 23:23:59	97			Australia/Perth
2023-05-05 00:58:31	96			Australia/Perth
2023-05-05 02:46:55	95			Australia/Perth
2023-05-05 03:50:51	94			Australia/Perth
2023-05-05 05:29:55	93			Australia/Perth
2023-05-05 06:39:55	92			Australia/Perth
2023-05-05 07:49:55	91			Australia/Perth
2023-05-05 08:55:57	90			Australia/Perth
2023-05-05 09:53:47	89			Australia/Perth
2023-05-05 11:18:04	88			Australia/Perth
2023-05-05 13:09:54	87			Australia/Perth
